2026-03-02 17:34:07,519 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:34:07,521 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:36:20,649 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:36:20,649 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:36:20,910 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:36:20,910 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:36:20,910 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:36:20,910 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:36:20,910 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:37:17,299 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:37:17,299 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:37:17,551 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:37:17,551 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:37:17,551 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:37:17,552 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:37:17,552 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:37:34,803 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:37:34,803 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:37:35,054 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:37:35,054 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:37:35,054 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:37:35,056 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:37:35,056 | CRITICAL | No se pudo identificar un archivo de backup válido.
